City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Mayo,US,38.8876,-76.5119,73.56,75,90,15.01,overcast clouds
116,Erenhot,CN,43.6475,111.9767,38.35,48,0,17.69,clear sky
117,Winston-Salem,US,36.0999,-80.2442,71.74,81,75,10.36,broken clouds
118,Katsuura,JP,35.1333,140.3,70.11,85,26,3.56,scattered clouds
119,Mount Gambier,AU,-37.8333,140.7667,39.11,93,88,5.75,overcast clouds
120,Ajdabiya,LY,30.7554,20.2263,78.89,28,0,10.47,clear sky
121,Marsh Harbour,BS,26.5412,-77.0636,82.53,65,99,6.6,overcast clouds
122,Bambanglipuro,ID,-7.95,110.2833,57.6,90,45,3.96,scattered clouds
123,Stykkisholmur,IS,65.0757,-22.7297,40.95,87,100,12.01,overcast clouds
124,Padang,ID,-0.9492,100.3543,77.52,89,29,3.2,scattered clouds
125,San Policarpo,PH,12.1791,125.5072,80.58,78,100,18.7,heavy intensity rain
126,Vestmannaeyjar,IS,63.4427,-20.2734,46.09,80,100,8.59,overcast clouds
127,Bousso,TD,10.4795,16.7117,79.79,72,61,2.55,broken clouds
128,Kraskino,RU,42.7114,130.7794,64.26,97,100,14.56,light rain
129,Aschersleben,DE,51.75,11.4667,48.45,63,10,5.01,clear sky
130,Khani,GE,41.9563,42.9566,51.37,72,3,5.01,clear sky
131,Chachapoyas,PE,-6.2317,-77.869,62.56,82,99,3.36,light rain
132,Ponta Do Sol,PT,32.6667,-17.1,73.0,70,27,4.97,scattered clouds
133,Axim,GH,4.8699,-2.2405,78.48,87,100,9.46,overcast clouds
134,Honningsvag,NO,70.9821,25.9704,41.0,90,100,9.19,overcast clouds
135,Yarim,YE,14.298,44.3779,59.54,63,90,9.75,overcast clouds
136,Pevek,RU,69.7008,170.3133,24.06,95,100,2.98,overcast clouds
137,Kushikino,JP,31.7167,130.2667,76.08,87,8,8.95,clear sky
138,Ginda,IN,30.6945,78.4932,57.22,54,0,6.6,clear sky
139,Leningradskiy,RU,69.3833,178.4167,15.66,95,99,4.5,overcast clouds
140,Upernavik,GL,72.7868,-56.1549,29.62,53,98,10.96,overcast clouds
141,Bredasdorp,ZA,-34.5322,20.0403,49.28,84,0,0.83,clear sky
142,Kamenka,RU,51.3223,42.7678,42.31,63,50,6.02,scattered clouds
143,Mgandu,TZ,-5.95,34.1333,73.42,38,98,9.53,overcast clouds
144,Lulea,SE,65.5842,22.1547,48.27,100,0,8.05,clear sky
145,Casper,US,42.8666,-106.3131,55.51,61,90,11.01,overcast clouds
146,Great Yarmouth,GB,52.6083,1.7305,56.95,84,8,2.17,clear sky
147,Boguchany,RU,58.3814,97.4531,39.52,76,100,16.22,light rain
148,Progreso,MX,21.2833,-89.6667,91.51,68,16,13.22,few clouds
149,Namibe,AO,-15.1961,12.1522,65.61,77,4,1.77,clear sky
150,Tuatapere,NZ,-46.1333,167.6833,50.83,73,59,5.14,broken clouds
151,Lebu,CL,-37.6167,-73.65,57.51,73,0,9.31,clear sky
152,Isangel,VU,-19.55,169.2667,75.31,73,29,5.75,scattered clouds
153,Koumac,NC,-20.5667,164.2833,71.65,67,9,5.7,clear sky
154,Bam,IR,29.106,58.357,69.82,25,0,11.3,clear sky
155,Provideniya,RU,64.3833,-173.3,29.19,80,28,5.39,scattered clouds
156,Fortuna,US,40.5982,-124.1573,70.2,58,7,5.01,clear sky
157,Bethel,US,41.3712,-73.414,65.68,82,90,1.01,overcast clouds
158,Bol,TD,13.4586,14.7147,85.53,47,6,10.89,clear sky
