City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Candido Mendes,BR,80.02,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
657,Oranjestad,AW,89.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
661,Huilong,CN,80.04,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
662,Kulhudhuffushi,MV,82.45,broken clouds,6.6221,73.07,Hondaafushi Island Resort
665,Makaha,US,80.51,light intensity drizzle,21.4694,-158.2175,Hawaiian Princess Resort
666,Mayumba,GA,77.4,overcast clouds,-3.432,10.6554,LIKWALE LODGE
667,Takoradi,GH,77.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
668,Phayakkhaphum Phisai,TH,80.42,overcast clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
670,Roswell,US,83.66,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
673,Kupang,ID,76.1,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
674,Samarai,PG,79.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
677,Gigmoto,PH,79.79,very heavy rain,13.7796,124.39,Cj's Travellers Inn
682,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
683,Abu Dhabi,AE,87.91,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
686,Hammond,US,84.69,clear sky,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
688,Manokwari,ID,79.09,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
